codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3507605,Bragança Paulista (SP),2022,176811,1459.9494137633906,9125117,SP,-22.938341866611065,-46.55594603702304
3525508,Joanópolis (SP),2022,12815,894.6079405762162,285354,SP,-22.938818783549067,-46.20917088199068
3532405,Nazaré Paulista (SP),2022,18217,962.3826808167578,505081,SP,-23.191419100087714,-46.36645928934634
3536802,Pedra Bela (SP),2022,6557,772.3401406080269,124824,SP,-22.775759887687027,-46.44180605099554
3538204,Pinhalzinho (SP),2022,15224,927.4900355177532,353045,SP,-22.77869094279019,-46.57342704141337
3538600,Piracaia (SP),2022,26029,1033.67209439645,708921,SP,-23.04688045991175,-46.302254667397314
3502507,Aparecida (SP),2022,32569,1079.752957717133,1145413,SP,-22.91418929530207,-45.237220522136965
3508504,Caçapava (SP),2022,96202,1316.5739016856921,5870325,SP,-23.103726861853435,-45.713327922252965
3508603,Cachoeira Paulista (SP),2022,31564,1073.2488645151186,727281,SP,-22.702346432364482,-44.99172986989012
3509700,Campos do Jordão (SP),2022,46974,1157.2056904260476,1662494,SP,-22.701614582235774,-45.533021015565474
3513405,Cruzeiro (SP),2022,74961,1259.9441220233305,3815247,SP,-22.551427661820803,-45.00629739814905
3518404,Guaratinguetá (SP),2022,118044,1363.9466643907067,8343081,SP,-22.7934700079702,-45.232950464453715
3520202,Igaratá (SP),2022,10605,859.158601189629,310647,SP,-23.134821464296746,-46.15033315419643
3524402,Jacareí (SP),2022,240275,1535.0068604092608,17761835,SP,-23.2988957598044,-45.990487572512315
3526605,Lavrinhas (SP),2022,7171,788.153398336216,154190,SP,-22.520343166424027,-44.88886399152196
3527207,Lorena (SP),2022,84855,1287.9297345139971,4172744,SP,-22.793961677116105,-45.06004725535061
3531704,Monteiro Lobato (SP),2022,4138,693.550486489693,90420,SP,-22.93655575327325,-45.80426190002009
3538006,Pindamonhangaba (SP),2022,165428,1443.9125741929445,13719557,SP,-22.879984958065833,-45.459298327675384
3538501,Piquete (SP),2022,12490,889.7551995656179,211422,SP,-22.590268258550008,-45.173752388606
3541901,Queluz (SP),2022,9159,832.1986542425708,451013,SP,-22.504232388697105,-44.785287113531666
3544301,Roseira (SP),2022,10832,863.0893077752268,416137,SP,-22.933028682472564,-45.302477164968415
3546009,Santa Branca (SP),2022,13975,911.0750793990478,323281,SP,-23.426391318678352,-45.86329463284783
3548203,Santo Antônio do Pinhal (SP),2022,7133,787.2102879968807,159642,SP,-22.83179271768637,-45.69805582237184
3548609,São Bento do Sapucaí (SP),2022,11674,877.0546185881732,305965,SP,-22.68140402566688,-45.68677754124262
3549904,São José dos Campos (SP),2022,697054,1810.2674987537237,56653327,SP,-23.09050561089995,-45.92859323664431
3554102,Taubaté (SP),2022,310739,1599.3923867930803,18462529,SP,-23.087121325611903,-45.50239972359446
3554805,Tremembé (SP),2022,51173,1175.6994048004358,1023338,SP,-22.9408490484888,-45.604213821734675
3502200,Angatuba (SP),2022,24022,1017.4202840968188,1661556,SP,-23.43683883266864,-48.45935378324877
3505005,Barão de Antonina (SP),2022,3531,667.380571498402,78067,SP,-23.58290131641028,-49.57197624134813
3508009,Buri (SP),2022,20250,983.2527256659484,702838,SP,-23.752010199750906,-48.57533170356938
3518503,Guareí (SP),2022,15013,924.8037595907828,331671,SP,-23.370473209541927,-48.219122261410625
3521705,Itaberá (SP),2022,17983,959.8477800513808,1204811,SP,-23.87125675428039,-49.14250220613236
3522307,Itapetininga (SP),2022,157790,1432.5744727765596,7249599,SP,-23.64542903078461,-48.12321526370692
3522406,Itapeva (SP),2022,89728,1300.6349043657,4196751,SP,-23.91393471298594,-48.87172066102819
3522802,Itaporanga (SP),2022,14085,912.5724270605369,367401,SP,-23.67291836386124,-49.45849744136681
3523206,Itararé (SP),2022,44438,1145.2959852172578,1304343,SP,-24.080454456656668,-49.303634827442345
3543501,Riversul (SP),2022,5599,744.8282529200948,102812,SP,-23.846876875927464,-49.44780136836342
3510203,Capão Bonito (SP),2022,46337,1154.270049652881,1395125,SP,-24.0392011179085,-48.289876122045754
3517604,Guapiara (SP),2022,17071,949.6768338406484,523934,SP,-24.212523781105734,-48.55583041467528
3519709,Ibiúna (SP),2022,75605,1261.8652783020166,2676377,SP,-23.80230795368208,-47.215215268968336
3537800,Piedade (SP),2022,52970,1183.1959278654786,1614593,SP,-23.786983322964435,-47.43813075221703
3537909,Pilar do Sul (SP),2022,27619,1045.7637764812878,1568002,SP,-23.856344222522335,-47.72811332497939
